Name ,Link,State ,Party ,LegislativeBody
"Green, Al",https://twitter.com/RepAlGreen,TX,D,house
"Green, Mark",https://twitter.com/RepMarkGreen,TN,R,house
"Greene, Marjorie Taylor",https://twitter.com/RepMTG,GA,R,house
"Griffith, Morgan",https://twitter.com/RepMGriffith,VA,R,house
"Grijalva, Raul",https://twitter.com/RepRaulGrijalva,AZ,D,house
"Grothman, Glenn",https://twitter.com/RepGrothman,WI,R,house
"Guest, Michael",https://twitter.com/RepMichaelGuest,MS,R,house
"Guthrie, S. Brett",https://twitter.com/RepGuthrie,KY,R,house
"Harder, Josh",https://twitter.com/RepJoshHarder,CA,D,house
"Harris, Andy",https://twitter.com/RepAndyHarrisMD,MD,R,house
"Harshbarger, Diana",https://twitter.com/RepHarshbarger,TN,R,house
"Hartzler, Vicky",https://twitter.com/RepHartzler,MO,R,house
"Hayes, Jahana",https://twitter.com/RepJahanaHayes,CT,D,house
"Hern, Kevin",https://twitter.com/repkevinhern,OK,R,house
"Herrell, Yvette",https://twitter.com/RepHerrell,NM,R,house
"Herrera Butler, Jaime",https://twitter.com/HerreraBeutler,WA,R,house
"Hice, Jody",https://twitter.com/CongressmanHice,GA,R,house
"Higgins, Brian",https://twitter.com/RepBrianHiggins,NY,D,house
"Higgins, Clay",https://twitter.com/RepClayHiggins,LA,R,house
"Hill, French",https://twitter.com/RepFrenchHill,AR,R,house
"Himes, Jim",https://twitter.com/jahimes,CT,D,house
"Hinson, Ashley",https://twitter.com/RepAshleyHinson,IA,R,house
"Hollingsworth, Trey",https://twitter.com/RepTrey,IN,R,house
"Horsford, Steven",https://twitter.com/RepHorsford,NV,D,house
"Houlahan, Chrissy",https://twitter.com/RepHoulahan,PA,D,house
"Hoyer, Steny H.",https://twitter.com/LeaderHoyer,MD,D,house
"Hudson, Richard",https://twitter.com/RepRichHudson,NC,R,house
"Huffman, Jared",https://twitter.com/RepHuffman,CA,D,house
"Huizenga, Bill",https://twitter.com/RepHuizenga,MI,R,house
"Issa, Darrell",https://twitter.com/repdarrellissa,CA,R,house
"Jackson Lee, Sheila",https://twitter.com/JacksonLeeTX18,TX,D,house
"Jackson, Ronny",https://twitter.com/RepRonnyJackson,TX,R,house
"Jacobs, Chris",https://twitter.com/RepJacobs,NY,R,house
"Jacobs, Sara",https://twitter.com/RepSaraJacobs,CA,D,house
"Jayapal, Pramila",https://twitter.com/RepJayapal,WA,D,house
"Jeffries, Hakeem",https://twitter.com/RepJeffries,NY,D,house
