,LegislativeBody,Name ,Link,State ,Party ,account
132,house,"Boebert, Lauren",https://twitter.com/RepBoebert,CO,R,RepBoebert
133,house,"Bonamici, Suzanne",https://twitter.com/RepBonamici,OR,D,RepBonamici
134,house,"Bost, Mike",https://twitter.com/RepBost,IL,R,RepBost
135,house,"Bowman, Jamaal",https://twitter.com/RepBowman,NY,D,RepBowman
136,house,"Boyle, Brendan",https://twitter.com/CongBoyle,PA,D,CongBoyle
137,house,"Brecheen, Josh",https://twitter.com/RepBrecheen,OK,R,RepBrecheen
138,house,"Brown, Shontel",https://twitter.com/RepShontelBrown,OH,D,RepShontelBrown
139,house,"Brownley, Julia",https://twitter.com/RepBrownley,CA,D,RepBrownley
140,house,"Buchanan, Vern",https://twitter.com/VernBuchanan,FL,R,VernBuchanan
141,house,"Buck, Ken",https://twitter.com/RepKenBuck,CO,R,RepKenBuck
142,house,"Bucshon, Larry",https://twitter.com/RepLarryBucshon,IN,R,RepLarryBucshon
143,house,"Budzinski, Nikki",https://twitter.com/RepNikkiB,IL,D,RepNikkiB
144,house,"Burchett, Tim",https://twitter.com/RepTimBurchett,TN,R,RepTimBurchett
145,house,"Burgess, Michael",https://twitter.com/michaelcburgess,TX,R,michaelcburgess
146,house,"Burlison, Eric",https://twitter.com/RepEricBurlison,MO,R,RepEricBurlison
147,house,"Bush, Cori",https://twitter.com/RepCori,MO,D,RepCori
148,house,"Calvert, Ken",https://twitter.com/KenCalvert,CA,R,KenCalvert
149,house,"Cammack, Kat",https://twitter.com/RepKatCammack,FL,R,RepKatCammack
150,house,"Caraveo, Yadira",https://twitter.com/RepCaraveoMD,CO,D,RepCaraveoMD
151,house,"Carbajal, Salud",https://twitter.com/RepCarbajal,CA,D,RepCarbajal
152,house,"Cardenas, Tony",https://twitter.com/RepCardenas,CA,D,RepCardenas
153,house,"Carey, Mike",https://twitter.com/RepMikeCarey,OH,R,RepMikeCarey
154,house,"Carl, Jerry ",https://twitter.com/RepJerryCarl,AL,R,RepJerryCarl
155,house,"Carson, André",https://twitter.com/RepAndreCarson,IN,D,RepAndreCarson
156,house,"Carter, Earl ""Buddy""",https://twitter.com/RepBuddyCarter,GA,R,RepBuddyCarter
157,house,"Carter, John",https://twitter.com/JudgeCarter,TX,R,JudgeCarter
158,house,"Carter, Troy",https://twitter.com/RepTroyCarter,LA,D,RepTroyCarter
159,house,"Cartwright, Matt",https://twitter.com/RepCartwright,PA,D,RepCartwright
160,house,"Casar, Greg",https://twitter.com/RepCasar,TX,D,RepCasar
161,house,"Case, Ed",https://twitter.com/RepEdCase,HI,D,RepEdCase
162,house,"Casten, Sean",https://twitter.com/RepCasten,IL,D,RepCasten
163,house,"Castor, Kathy",https://twitter.com/USRepKCastor,FL,D,USRepKCastor
164,house,"Castro, Joaquin",https://twitter.com/JoaquinCastrotx,TX,D,JoaquinCastrotx
165,house,"Chavez-DeRemer, Lori",https://twitter.com/RepLCD,OR,R,RepLCD
166,house,"Cherfilus-McCormick, Sheila",https://twitter.com/CongresswomanSC,FL,D,CongresswomanSC
167,house,"Chu, Judy",https://twitter.com/RepJudyChu,CA,D,RepJudyChu
168,house,"Cicilline, David",https://twitter.com/RepCicilline,RI,D,RepCicilline
169,house,"Ciscomani, Juan",https://twitter.com/RepCiscomani,AZ,R,RepCiscomani
170,house,"Clark, Katherine",https://twitter.com/RepKClark,MA,D,RepKClark
171,house,"Clarke, Yvette ",https://twitter.com/RepYvetteClarke,NY,D,RepYvetteClarke
